Motion Sensor Data File Sep 21, 2018 12:30 PM
Time (s)	Distance (cm)	Dist Error (cm)
1.270	20.985	0.239
1.280	21.306	0.239
1.290	21.652	0.239
1.300	22.003	0.239
1.310	22.371	0.239
1.320	22.730	0.239
1.330	23.111	0.239
1.340	23.483	0.239
1.350	23.864	0.239
1.360	24.223	0.239
1.370	24.591	0.239
1.380	24.937	0.239
1.390	25.271	0.239
1.400	25.583	0.239
1.410	25.886	0.239
1.420	26.155	0.239
1.430	26.403	0.239
1.440	26.620	0.239
1.450	26.803	0.239
1.460	26.973	0.239
1.470	27.100	0.239
1.480	27.206	0.239
1.490	27.265	0.239
1.500	27.305	0.239
1.510	27.299	0.239
1.520	27.272	0.239
1.530	27.192	0.239
1.540	27.096	0.239
1.550	26.957	0.239
1.560	26.795	0.239
1.570	26.587	0.239
1.580	26.366	0.239
1.590	26.107	0.239
1.600	25.838	0.239
1.610	25.535	0.239
1.620	25.224	0.239
1.630	24.887	0.239
1.640	24.545	0.239
1.650	24.178	0.239
1.660	23.802	0.239
1.670	23.439	0.239
1.680	23.059	0.239
1.690	22.695	0.239
1.700	22.324	0.239
1.710	21.965	0.239
1.720	21.611	0.239
1.730	21.278	0.239
1.740	20.953	0.239
1.750	20.659	0.239
1.760	20.370	0.239
1.770	20.118	0.239
1.780	19.875	0.239
1.790	19.672	0.239
1.800	19.489	0.239
1.810	19.345	0.239
1.820	19.232	0.239
1.830	19.157	0.239
1.840	19.107	0.239
1.850	19.097	0.239
1.860	19.121	0.239
1.870	19.175	0.239
1.880	19.259	0.239
1.890	19.374	0.239
1.900	19.535	0.239
1.910	19.709	0.239
1.920	19.931	0.239
1.930	20.166	0.239
1.940	20.435	0.239
1.950	20.717	0.239
1.960	21.033	0.239
1.970	21.354	0.239
1.980	21.700	0.239
1.990	22.047	0.239
2.000	22.418	0.239
2.010	22.782	0.239
2.020	23.163	0.239
2.030	23.531	0.239
2.040	23.912	0.239
2.050	24.271	0.239
2.060	24.630	0.239
2.070	24.972	0.239
2.080	25.310	0.239
2.090	25.614	0.239
2.100	25.900	0.239
2.110	26.178	0.239
2.120	26.412	0.239
2.130	26.638	0.239
2.140	26.821	0.239
2.150	26.987	0.239
2.160	27.114	0.239
2.170	27.216	0.239
2.180	27.269	0.239
2.190	27.306	0.239
2.200	27.296	0.239
2.210	27.264	0.239
2.220	27.185	0.239
2.230	27.084	0.239
2.240	26.940	0.239
2.250	26.775	0.239
2.260	26.567	0.239
2.270	26.346	0.239
2.280	26.081	0.239
2.290	25.809	0.239
2.300	25.502	0.239
2.310	25.190	0.239
2.320	24.848	0.239
2.330	24.498	0.239
2.340	24.144	0.239
2.350	23.768	0.239
2.360	23.409	0.239
2.370	23.029	0.239
2.380	22.670	0.239
2.390	22.295	0.239
2.400	21.940	0.239
2.410	21.581	0.239
2.420	21.248	0.239
2.430	20.920	0.239
2.440	20.621	0.239
2.450	20.331	0.239
2.460	20.076	0.239
2.470	19.842	0.239
2.480	19.646	0.239
2.490	19.477	0.239
2.500	19.338	0.239
2.510	19.220	0.239
2.520	19.149	0.239
2.530	19.087	0.239
2.540	19.072	0.239
2.550	19.083	0.239
2.560	19.137	0.239
2.570	19.239	0.239
2.580	19.357	0.239
2.590	19.536	0.239
2.600	19.719	0.239
2.610	19.945	0.239
2.620	20.184	0.239
2.630	20.457	0.239
2.640	20.739	0.239
2.650	21.055	0.239
2.660	21.371	0.239
2.670	21.727	0.239
2.680	22.073	0.239
2.690	22.445	0.239
2.700	22.804	0.239
2.710	23.189	0.239
2.720	23.558	0.239
2.730	23.934	0.239
2.740	24.289	0.239
2.750	24.657	0.239
2.760	24.995	0.239
2.770	25.311	0.239
2.780	25.631	0.239
2.790	25.914	0.239
2.800	26.187	0.239
2.810	26.421	0.239
2.820	26.648	0.239
2.830	26.830	0.239
2.840	26.992	0.239
2.850	27.110	0.239
2.860	27.212	0.239
2.870	27.266	0.239
2.880	27.298	0.239
2.890	27.284	0.239
2.900	27.243	0.239
2.910	27.164	0.239
2.920	27.059	0.239
2.930	26.911	0.239
2.940	26.741	0.239
2.950	26.533	0.239
2.960	26.312	0.239
2.970	26.048	0.239
2.980	25.775	0.239
2.990	25.472	0.239
3.000	25.148	0.239
3.010	24.819	0.239
3.020	24.465	0.239
3.030	24.114	0.239
3.040	23.743	0.239
3.050	23.380	0.239
3.060	23.004	0.239
3.070	22.641	0.239
3.080	22.265	0.239
3.090	21.915	0.239
3.100	21.561	0.239
3.110	21.232	0.239
3.120	20.912	0.239
3.130	20.622	0.239
3.140	20.336	0.239
3.150	20.089	0.239
3.160	19.855	0.239
3.170	19.664	0.239
3.180	19.486	0.239
3.190	19.355	0.239
3.200	19.242	0.239
3.210	19.158	0.239
3.220	19.117	0.239
3.230	19.103	0.239
3.240	19.135	0.239
3.250	19.193	0.239
3.260	19.291	0.239
3.270	19.414	0.239
3.280	19.579	0.239
3.290	19.762	0.239
3.300	19.989	0.239
3.310	20.227	0.239
3.320	20.505	0.239
3.330	20.787	0.239
3.340	21.103	0.239
3.350	21.424	0.239
3.360	21.770	0.239
3.370	22.117	0.239
3.380	22.489	0.239
3.390	22.848	0.239
3.400	23.233	0.239
3.410	23.597	0.239
3.420	23.978	0.239
3.430	24.337	0.239
3.440	24.683	0.239
3.450	25.029	0.239
3.460	25.346	0.239
3.470	25.662	0.239
3.480	25.944	0.239
3.490	26.213	0.239
3.500	26.443	0.239
3.510	26.661	0.239
3.520	26.840	0.239
3.530	27.001	0.239
3.540	27.115	0.239
3.550	27.213	0.239
3.560	27.262	0.239
3.570	27.295	0.239
3.580	27.276	0.239
3.590	27.239	0.239
3.600	27.156	0.239
3.610	27.047	0.239
3.620	26.894	0.239
3.630	26.725	0.239
3.640	26.508	0.239
3.650	26.282	0.239
3.660	26.022	0.239
3.670	25.732	0.239
3.680	25.438	0.239
3.690	25.110	0.239
3.700	24.781	0.239
3.710	24.427	0.239
3.720	24.077	0.239
3.730	23.705	0.239
3.740	23.342	0.239
3.750	22.966	0.239
3.760	22.603	0.239
3.770	22.231	0.239
3.780	21.877	0.239
3.790	21.527	0.239
3.800	21.202	0.239
3.810	20.874	0.239
3.820	20.580	0.239
3.830	20.298	0.239
3.840	20.056	0.239
3.850	19.826	0.239
3.860	19.639	0.239
3.870	19.465	0.239
3.880	19.322	0.239
3.890	19.221	0.239
3.900	19.141	0.239
3.910	19.105	0.239
3.920	19.091	0.239
3.930	19.132	0.239
3.940	19.186	0.239
3.950	19.300	0.239
3.960	19.431	0.239
3.970	19.602	0.239
3.980	19.789	0.239
3.990	20.015	0.239
4.000	20.258	0.239
4.010	20.531	0.239
4.020	20.822	0.239
4.030	21.138	0.239
4.040	21.463	0.239
4.050	21.810	0.239
4.060	22.164	0.239
4.070	22.528	0.239
4.080	22.892	0.239
4.090	23.272	0.239
4.100	23.641	0.239
4.110	24.000	0.239
4.120	24.368	0.239
4.130	24.714	0.239
4.140	25.060	0.239
4.150	25.373	0.239
4.160	25.689	0.239
4.170	25.966	0.239
4.180	26.235	0.239
4.190	26.461	0.239
4.200	26.683	0.239
4.210	26.857	0.239
4.220	27.015	0.239
4.230	27.129	0.239
4.240	27.217	0.239
4.250	27.267	0.239
4.260	27.296	0.239
4.270	27.276	0.239
4.280	27.231	0.239
4.290	27.139	0.239
4.300	27.034	0.239
4.310	26.873	0.239
4.320	26.704	0.239
4.330	26.487	0.239
4.340	26.244	0.239
4.350	25.993	0.239
4.360	25.708	0.239
4.370	25.413	0.239
4.380	25.084	0.239
4.390	24.756	0.239
4.400	24.402	0.239
4.410	24.052	0.239
4.420	23.680	0.239
4.430	23.317	0.239
4.440	22.937	0.239
4.450	22.578	0.239
4.460	22.210	0.239
4.470	21.860	0.239
4.480	21.510	0.239
4.490	21.186	0.239
4.500	20.866	0.239
4.510	20.576	0.239
4.520	20.299	0.239
4.530	20.056	0.239
4.540	19.831	0.239
4.550	19.636	0.239
4.560	19.475	0.239
4.570	19.331	0.239
4.580	19.234	0.239
4.590	19.155	0.239
4.600	19.119	0.239
4.610	19.104	0.239
4.620	19.137	0.239
4.630	19.204	0.239
4.640	19.301	0.239
4.650	19.441	0.239
4.660	19.620	0.239
4.670	19.807	0.239
4.680	20.033	0.239
4.690	20.280	0.239
4.700	20.558	0.239
4.710	20.844	0.239
4.720	21.160	0.239
4.730	21.481	0.239
4.740	21.836	0.239
4.750	22.182	0.239
4.760	22.559	0.239
4.770	22.922	0.239
4.780	23.286	0.239
4.790	23.667	0.239
4.800	24.026	0.239
4.810	24.394	0.239
4.820	24.736	0.239
4.830	25.078	0.239
4.840	25.395	0.239
4.850	25.702	0.239
4.860	25.975	0.239
4.870	26.245	0.239
4.880	26.466	0.239
4.890	26.679	0.239
4.900	26.854	0.239
4.910	27.007	0.239
4.920	27.117	0.239
4.930	27.210	0.239
4.940	27.250	0.239
4.950	27.274	0.239
