Motion Sensor Data File Sep 21, 2018 12:30 PM
Time (s)	Velocity (cm/s)
1.270	NaN
1.280	32.078
1.290	34.658
1.300	35.045
1.310	36.808
1.320	35.905
1.330	38.098
1.340	37.195
1.350	38.098
1.360	35.948
1.370	36.765
1.380	34.658
1.390	33.325
1.400	31.218
1.410	30.358
1.420	26.875
1.430	24.768
1.440	21.715
1.450	18.318
1.460	17.028
1.470	12.685
1.480	10.578
1.490	5.848
1.500	4.085
1.510	-0.602
1.520	-2.752
1.530	-7.955
1.540	-9.632
1.550	-13.932
1.560	-16.125
1.570	-20.812
1.580	-22.102
1.590	-25.972
1.600	-26.875
1.610	-30.272
1.620	-31.132
1.630	-33.712
1.640	-34.185
1.650	-36.722
1.660	-37.582
1.670	-36.292
1.680	-38.012
1.690	-36.335
1.700	-37.152
1.710	-35.862
1.720	-35.432
1.730	-33.325
1.740	-32.422
1.750	-29.412
1.760	-28.982
1.770	-25.155
1.780	-24.252
1.790	-20.382
1.800	-18.232
1.810	-14.405
1.820	-11.352
1.830	-7.482
1.840	-4.945
1.850	-1.032
1.860	2.408
1.870	5.375
1.880	8.428
1.890	11.438
1.900	16.125
1.910	17.458
1.920	22.188
1.930	23.435
1.940	26.918
1.950	28.165
1.960	31.648
1.970	32.078
1.980	34.615
1.990	34.658
2.000	37.195
2.010	36.378
2.020	38.055
2.030	36.808
2.040	38.098
2.050	35.905
2.060	35.948
2.070	34.185
2.080	33.798
2.090	30.358
2.100	28.595
2.110	27.778
2.120	23.435
2.130	22.618
2.140	18.318
2.150	16.555
2.160	12.728
2.170	10.148
2.180	5.375
2.190	3.698
2.200	-1.032
2.210	-3.225
2.220	-7.912
2.230	-10.062
2.240	-14.405
2.250	-16.512
2.260	-20.812
2.270	-22.102
2.280	-26.445
2.290	-27.262
2.300	-30.702
2.310	-31.132
2.320	-34.185
2.330	-35.002
2.340	-35.432
2.350	-37.582
2.360	-35.905
2.370	-38.012
2.380	-35.862
2.390	-37.582
2.400	-35.475
2.410	-35.862
2.420	-33.282
2.430	-32.852
2.440	-29.885
2.450	-28.982
2.460	-25.542
2.470	-23.392
2.480	-19.565
2.490	-16.942
2.500	-13.932
2.510	-11.782
2.520	-7.095
2.530	-6.192
2.540	-1.462
2.550	1.075
2.560	5.418
2.570	10.148
2.580	11.825
2.590	17.888
2.600	18.275
2.610	22.618
2.620	23.908
2.630	27.305
2.640	28.208
2.650	31.648
2.660	31.605
2.670	35.518
2.680	34.615
2.690	37.238
2.700	35.905
2.710	38.528
2.720	36.808
2.730	37.625
2.740	35.518
2.750	36.765
2.760	33.798
2.770	31.648
2.780	32.035
2.790	28.208
2.800	27.305
2.810	23.478
2.820	22.618
2.830	18.275
2.840	16.168
2.850	11.825
2.860	10.148
2.870	5.418
2.880	3.225
2.890	-1.462
2.900	-4.042
2.910	-7.955
2.920	-10.492
2.930	-14.792
2.940	-16.942
2.950	-20.855
2.960	-22.102
2.970	-26.402
2.980	-27.262
2.990	-30.315
3.000	-32.422
3.010	-32.852
3.020	-35.432
3.030	-35.045
3.040	-37.152
3.050	-36.292
3.060	-37.582
3.070	-36.335
3.080	-37.582
3.090	-35.002
3.100	-35.432
3.110	-32.852
3.120	-32.035
3.130	-28.982
3.140	-28.552
3.150	-24.725
3.160	-23.392
3.170	-19.092
3.180	-17.802
3.190	-13.115
3.200	-11.352
3.210	-8.342
3.220	-4.085
3.230	-1.462
3.240	3.268
3.250	5.805
3.260	9.718
3.270	12.298
3.280	16.555
3.290	18.318
3.300	22.618
3.310	23.865
3.320	27.778
3.330	28.165
3.340	31.648
3.350	32.078
3.360	34.615
3.370	34.658
3.380	37.195
3.390	35.948
3.400	38.528
3.410	36.335
3.420	38.098
3.430	35.905
3.440	34.658
3.450	34.615
3.460	31.648
3.470	31.648
3.480	28.165
3.490	26.918
3.500	23.005
3.510	21.758
3.520	17.888
3.530	16.125
3.540	11.438
3.550	9.718
3.560	4.945
3.570	3.268
3.580	-1.892
3.590	-3.655
3.600	-8.342
3.610	-10.922
3.620	-15.265
3.630	-16.942
3.640	-21.672
3.650	-22.532
3.660	-26.015
3.670	-28.982
3.680	-29.412
3.690	-32.852
3.700	-32.895
3.710	-35.432
3.720	-35.002
3.730	-37.152
3.740	-36.335
3.750	-37.582
3.760	-36.292
3.770	-37.152
3.780	-35.432
3.790	-35.045
3.800	-32.422
3.810	-32.852
3.820	-29.412
3.830	-28.165
3.840	-24.252
3.850	-22.962
